slug,name,collection,price_usd
san-francisco-tee,San Francisco Tee,Bay Area,35
san-francisco-tee-camo,San Francisco Tee — Camo,Bay Area,35
san-jose-tee,San Jose Tee,Bay Area,35
san-jose-tee-camo,San Jose Tee — Camo,Bay Area,35
san-francisco-bridge,San Francisco Bridge,Bay Area,35
san-francisco-city,San Francisco City,Bay Area,35
san-jose-red,San Jose — Red,Bay Area,35
marvel-spiderman,Marvel Spiderman,Superheroes,35
marvel-iron-man,Marvel Iron Man,Superheroes,35
iron-man-3,Iron Man 3,Superheroes,35
marvel-hulk,Marvel Hulk,Superheroes,35
marvel-black-panther,Marvel Black Panther,Superheroes,35
marvel-black-panther-1,Marvel Black Panther (1),Superheroes,35
marvel-captain-america,Marvel Captain America,Superheroes,35
venom-3,Venom 3,Superheroes,35
3-ball-camo,3 Ball — Camo,3 Ball,35
3-ball-fire,3 Ball — Fire,3 Ball,35
3-ball-pink-camo,3 Ball — Pink Camo,3 Ball,35
3-ball-waves,3 Ball — Waves,3 Ball,35
3-ball-black-and-white,3 Ball — Black & White,3 Ball,35
chrollo-full-back,Chrollo — Full Back,Chrollo,35
chrollo-chain,Chrollo — Chain,Chrollo,35
hawaii-map,Hawaii Map,Aloha,35
surfboard,Surfboard,Aloha,35
